Date,BTCX21.CME,BTCZ21.CME,BTCF22.CME,BTCG22.CME,BTCH22.CME,BTCJ22.CME,BTCZ22.CME,BTC-USD
2020-08-31,,12790.0,,,,,,11680.8203125
2020-09-01,,13090.0,,,,,,11970.478515625
2020-09-02,,12370.0,,,,,,11414.0341796875
2020-09-03,,12150.0,,,,,,10245.296875
2020-09-04,,11920.0,,,,,,10511.8134765625
2020-09-08,,11375.0,,,,,,10131.5166015625
2020-09-09,,11705.0,,,,,,10242.34765625
2020-09-10,,11680.0,,,,,,10363.138671875
2020-09-11,,11500.0,,,,,,10400.9150390625
2020-09-14,,11940.0,,,,,,10680.837890625
2020-09-15,,12000.0,,,,,,10796.951171875
2020-09-16,,12225.0,,,,,,10974.9052734375
2020-09-17,,12075.0,,,,,,10948.990234375
2020-09-18,,12005.0,,,,,,10944.5859375
2020-09-21,,11590.0,,,,,,10462.259765625
2020-09-22,,11580.0,,,,,,10538.4599609375
2020-09-23,,11345.0,,,,,,10225.8642578125
2020-09-24,,11850.0,,,,,,10745.548828125
2020-09-25,,11920.0,,,,,,10702.2900390625
2020-09-28,,12025.0,,,,,,10721.3271484375
2020-09-29,,11845.0,,,,,,10848.830078125
2020-09-30,,11810.0,,,,,,10787.6181640625
2020-10-01,,11635.0,,,,,,10623.330078125
2020-10-02,,11635.0,,,,,,10585.1640625
2020-10-05,,11885.0,,,,,,10804.0009765625
2020-10-06,,11745.0,,,,,,10621.6640625
2020-10-07,,11805.0,,,,,,10679.13671875
2020-10-08,,12040.0,,,,,,10923.6279296875
2020-10-09,,12205.0,,,,,,
2020-10-12,,12765.0,,,,,,
2020-10-13,,12565.0,,,,,,
2020-10-14,,12540.0,,,,,,11429.5068359375
2020-10-15,,12725.0,,,,,,11495.349609375
2020-10-16,,12505.0,,,,,,11322.123046875
2020-10-19,,12910.0,,,,,,11742.037109375
2020-10-20,,13180.0,,,,,,11916.3349609375
2020-10-21,,13820.0,,,,,,12823.689453125
2020-10-22,,14285.0,,,,,,12965.8916015625
2020-10-23,,14145.0,,,,,,12931.5390625
2020-10-26,,14215.0,,,,,,13075.248046875
2020-10-27,,14880.0,,,,,,13654.21875
2020-10-28,,14475.0,,,,,,13271.28515625
2020-10-29,,14975.0,,,,,,13437.8828125
2020-10-30,,14960.0,,,,,,13546.5224609375
2020-11-02,,14980.0,,,,,,13550.4892578125
2020-11-03,,15120.0,,,,,,13950.30078125
2020-11-04,,15430.0,,,,,,14133.70703125
2020-11-05,,16555.0,,,,,,15579.8486328125
2020-11-06,,16900.0,,,,,,15565.880859375
2020-11-09,,16865.0,,,,,,15332.3154296875
2020-11-10,,16720.0,,,,,,15290.90234375
2020-11-11,,17175.0,,,,,,15701.33984375
2020-11-12,,17570.0,,,,,,16276.34375
2020-11-13,,17665.0,,,,,,16317.80859375
2020-11-16,,18250.0,,,,,,16716.111328125
2020-11-17,,19090.0,,,,,,17645.40625
2020-11-18,,19060.0,,,,,,17804.005859375
2020-11-19,,19480.0,,,,,,17817.08984375
2020-11-20,,20095.0,,,,,,18621.314453125
2020-11-23,,19855.0,,,,,,18364.12109375
2020-11-24,,20650.0,,,,,,19107.46484375
2020-11-25,,20425.0,,,,,,18732.12109375
2020-11-30,,21610.0,,,,,,19625.8359375
2020-12-01,,21130.0,,,,,,18802.998046875
2020-12-02,,21110.0,,,,,,19201.091796875
2020-12-03,,21415.0,,,,,,19445.3984375
2020-12-04,,20950.0,,,,,,18699.765625
2020-12-07,,20945.0,,,,,,19191.630859375
2020-12-08,,20645.0,,,,,,18321.14453125
2020-12-09,,20205.0,,,,,,18553.916015625
2020-12-10,,20215.0,,,,,,18264.9921875
